ID_cliente,Baja,Genero,Ciudadano_Mayor,Pareja,Dependientes,Tiempo_contrato,Servicio_telefonia,Lineas_multiples,Servicio_internet,Seguridad_online,Respaldo_online,Proteccion_dispositivo,Soporte_tecnico,TV_streaming,Peliculas_streaming,Tipo_contrato,Facturacion_digital,Metodo_pago,Cargo_mensual,Total_gastado,Cuentas_Diarias
1134-YWTYF,No,Hombre,No,Sí,No,27,Sí,No,DSL,No,Sí,No,Sí,No,No,Mensual,Sí,Cheque electrónico,53.8,1389.85,1.79
1135-HIORI,No,Mujer,No,Sí,Sí,64,Sí,Sí,Fibra óptica,No,Sí,Sí,Sí,Sí,Sí,Un año,Sí,Cheque electrónico,111.45,7266.95,3.72
1135-LMECX,No,Mujer,No,No,No,1,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Cheque postal,19.85,19.85,0.66
1136-XGEQU,No,Mujer,No,Sí,Sí,50,Sí,Sí,DSL,No,Sí,Sí,Sí,Sí,Sí,Un año,Sí,Tarjeta de crédito,84.15,4164.4,2.8
1137-DGOWI,No,Mujer,No,Sí,No,30,Sí,No,DSL,No,Sí,Sí,Sí,No,Sí,Un año,No,Transferencia bancaria,70.25,2198.9,2.34
1139-WUOAH,No,Hombre,No,No,No,57,No,Sin servicio telefónico,DSL,No,No,Sí,Sí,Sí,Sí,Dos años,No,Tarjeta de crédito,53.35,3090.05,1.78
1140-UKVZG,No,Mujer,No,No,No,17,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Cheque postal,24.8,475.25,0.83
1142-IHLOO,No,Mujer,No,No,No,51,Sí,No,Fibra óptica,No,No,No,No,Sí,Sí,Un año,No,Tarjeta de crédito,87.55,4475.9,2.92
1142-WACZW,Sí,Hombre,No,No,No,2,No,Sin servicio telefónico,DSL,No,No,No,Sí,No,No,Mensual,No,Transferencia bancaria,29.85,75.6,1.0
1143-NMNQJ,Sí,Mujer,No,No,No,2,Sí,Sí,Fibra óptica,No,No,No,No,No,Sí,Mensual,Sí,Cheque electrónico,85.7,169.8,2.86
1150-FTQGN,No,Mujer,No,Sí,Sí,60,Sí,Sí,Fibra óptica,Sí,Sí,No,No,Sí,No,Un año,No,Transferencia bancaria,94.15,5811.8,3.14
1150-WFARN,Sí,Mujer,No,Sí,Sí,67,Sí,Sí,Fibra óptica,Sí,No,Sí,Sí,Sí,Sí,Dos años,Sí,Tarjeta de crédito,108.75,7156.2,3.62
1153-GNOLC,No,Hombre,No,No,No,33,No,Sin servicio telefónico,DSL,No,Sí,No,No,Sí,No,Un año,Sí,Cheque electrónico,39.1,1309.0,1.3
1154-HYWWO,No,Hombre,No,No,No,38,Sí,No,DSL,Sí,Sí,No,Sí,Sí,No,Un año,No,Cheque postal,70.6,2708.2,2.35
1156-ZFYDO,No,Mujer,No,No,No,1,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Cheque electrónico,19.75,19.75,0.66
1157-BQCUW,Sí,Hombre,No,No,No,1,Sí,Sí,Fibra óptica,No,No,No,No,No,No,Mensual,Sí,Cheque electrónico,74.95,74.95,2.5
1159-WFSGR,No,Mujer,No,Sí,Sí,16,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Cheque electrónico,20.4,321.4,0.68
1162-ECVII,No,Hombre,Yes,Sí,No,72,Sí,Sí,Fibra óptica,No,Sí,Sí,Sí,Sí,Sí,Dos años,Sí,Transferencia bancaria,109.75,7932.5,3.66
1163-ONYEY,No,Hombre,No,Sí,Sí,41,Sí,Sí,DSL,Sí,Sí,Sí,No,Sí,No,Mensual,Sí,Tarjeta de crédito,74.55,3023.55,2.48
1163-VIPRI,No,Mujer,No,Sí,Sí,65,Sí,Sí,Fibra óptica,Sí,No,Sí,Sí,Sí,Sí,Dos años,No,Cheque electrónico,109.3,7337.55,3.64
1166-PQLGG,No,Mujer,No,Sí,Sí,72,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Transferencia bancaria,19.55,1463.45,0.65
1167-OYZJF,No,Mujer,Yes,Sí,No,67,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,Sí,Transferencia bancaria,20.05,1263.05,0.67
1169-SAOCL,No,Hombre,No,No,No,49,Sí,Sí,Fibra óptica,No,Sí,No,Sí,Sí,Sí,Un año,Sí,Transferencia bancaria,106.65,5168.1,3.56
1169-WCVAK,No,Hombre,No,Sí,No,19,Sí,Sí,Fibra óptica,Sí,Sí,No,Sí,No,No,Mensual,Sí,Tarjeta de crédito,88.8,1672.35,2.96
1170-SASML,No,Mujer,No,Sí,No,69,Sí,Sí,Fibra óptica,No,Sí,Sí,No,No,No,Mensual,Sí,Transferencia bancaria,85.4,5869.4,2.85
1171-TYKUR,No,Hombre,No,Sí,No,47,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Cheque electrónico,25.4,1139.2,0.85
1172-VIYBP,No,Hombre,No,Sí,Sí,53,Sí,Sí,DSL,Sí,Sí,No,No,No,Sí,Dos años,No,Transferencia bancaria,69.7,3686.05,2.32
1173-NOEYG,No,Mujer,No,Sí,No,27,Sí,Sí,Fibra óptica,No,No,Sí,No,No,Sí,Mensual,No,Transferencia bancaria,90.15,2423.4,3.01
1173-XZPYF,No,Mujer,No,No,No,11,Sí,Sí,Fibra óptica,No,No,Sí,No,Sí,No,Mensual,Sí,Cheque electrónico,89.2,990.3,2.97
1174-FGIFN,No,Mujer,No,Sí,Sí,28,Sí,Sí,Fibra óptica,No,No,No,Sí,No,Sí,Un año,Sí,Cheque electrónico,90.45,2509.25,3.02
1177-XZBJL,No,Hombre,No,Sí,Sí,53,Sí,Sí,DSL,Sí,Sí,No,Sí,No,No,Un año,No,Transferencia bancaria,64.15,3491.55,2.14
1178-PZGAB,No,Mujer,No,No,No,19,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,No,Tarjeta de crédito,20.25,383.65,0.68
1179-INLAT,No,Hombre,No,No,No,3,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,Sí,Cheque postal,19.45,69.25,0.65
1183-CANVH,No,Mujer,No,Sí,No,23,Sí,No,DSL,No,No,No,Sí,Sí,No,Un año,No,Transferencia bancaria,60.0,1347.15,2.0
1184-PJVDB,Sí,Hombre,No,Sí,No,10,Sí,No,Fibra óptica,No,No,No,No,Sí,No,Mensual,Sí,Cheque electrónico,79.95,857.2,2.66
1187-WILMM,No,Hombre,No,Sí,Sí,63,Sí,Sí,DSL,Sí,Sí,Sí,Sí,Sí,Sí,Dos años,Sí,Tarjeta de crédito,89.4,5597.65,2.98
1193-RTSLK,Sí,Mujer,No,No,No,38,Sí,No,Fibra óptica,Sí,Sí,Sí,No,No,No,Mensual,Sí,Tarjeta de crédito,83.9,3233.6,2.8
1194-BHJYC,No,Hombre,No,Sí,No,61,No,Sin servicio telefónico,DSL,Sí,No,Sí,Sí,Sí,Sí,Dos años,Sí,Cheque postal,62.15,3778.85,2.07
1194-HVAIF,No,Mujer,No,Sí,No,27,Sí,Sí,Fibra óptica,No,No,No,No,Sí,Sí,Mensual,No,Tarjeta de crédito,95.0,2462.55,3.17
1194-SPVSP,No,Hombre,No,No,No,1,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Transferencia bancaria,19.65,19.65,0.65
1195-OIYEJ,Sí,Hombre,No,No,No,13,Sí,No,Fibra óptica,No,No,No,No,Sí,Sí,Mensual,Sí,Cheque electrónico,91.1,1135.7,3.04
1196-AMORA,Sí,Hombre,No,No,No,7,Sí,Sí,Fibra óptica,No,No,No,No,No,No,Mensual,No,Cheque electrónico,73.6,520.0,2.45
1197-BVMVG,No,Mujer,Yes,No,No,4,Sí,Sí,Fibra óptica,No,No,No,No,No,No,Mensual,Sí,Cheque electrónico,74.45,294.45,2.48
1200-TUZHR,No,Mujer,Yes,No,No,8,Sí,Sí,Fibra óptica,No,No,No,No,No,Sí,Mensual,No,Cheque electrónico,85.2,695.75,2.84
1202-KKGFU,No,Mujer,No,Sí,No,12,Sí,No,DSL,Sí,No,No,Sí,No,No,Mensual,No,Transferencia bancaria,54.2,690.5,1.81
1205-WNWPJ,Sí,Mujer,No,No,No,7,Sí,No,DSL,No,No,No,Sí,Sí,No,Mensual,Sí,Cheque postal,59.5,415.95,1.98
1206-EHBDD,No,Mujer,No,Sí,No,56,Sí,No,Fibra óptica,Sí,No,Sí,No,No,No,Dos años,No,Transferencia bancaria,80.3,4513.65,2.68
1207-BLKSA,No,Mujer,No,Sí,Sí,52,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Cheque postal,23.05,1255.1,0.77
1208-DNHLN,Sí,Hombre,No,Sí,Sí,23,Sí,Sí,DSL,No,No,No,No,No,No,Un año,Sí,Tarjeta de crédito,48.35,1067.15,1.61
1208-NBVFH,No,Hombre,No,Sí,Sí,20,Sí,No,DSL,No,No,Sí,No,No,No,Mensual,Sí,Cheque electrónico,49.6,939.8,1.65
1209-VFFOC,No,Hombre,No,Sí,Sí,68,No,Sin servicio telefónico,DSL,Sí,Sí,Sí,Sí,No,Sí,Dos años,Sí,Cheque postal,56.4,3948.45,1.88
1212-GLHMD,No,Hombre,No,No,No,3,Sí,No,Fibra óptica,Sí,No,No,No,No,Sí,Mensual,Sí,Cheque postal,86.05,244.85,2.87
1213-NGCUN,Sí,Mujer,No,No,No,6,Sí,No,DSL,No,No,No,Sí,No,No,Mensual,Sí,Transferencia bancaria,49.65,267.35,1.66
1215-EXRMO,No,Hombre,No,Sí,No,50,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Cheque postal,20.55,1067.65,0.68
1215-FIGMP,No,Hombre,No,No,No,60,Sí,Sí,Fibra óptica,No,Sí,No,No,Sí,No,Mensual,Sí,Transferencia bancaria,89.9,5450.7,3.0
1215-VFYVK,No,Mujer,No,No,No,4,No,Sin servicio telefónico,DSL,Sí,No,Sí,Sí,No,Sí,Mensual,No,Cheque postal,48.25,202.25,1.61
1216-BGTSP,No,Hombre,No,No,No,45,Sí,Sí,Fibra óptica,Sí,No,Sí,Sí,Sí,Sí,Mensual,Sí,Tarjeta de crédito,108.45,4964.7,3.62
1216-JWVUX,No,Hombre,No,Sí,Sí,25,Sí,No,Fibra óptica,No,Sí,No,No,No,No,Mensual,Sí,Cheque electrónico,75.5,1901.05,2.52
1217-VASWC,No,Hombre,Yes,Sí,No,43,Sí,No,Fibra óptica,No,Sí,Sí,No,Sí,Sí,Un año,Sí,Transferencia bancaria,100.55,4304.0,3.35
1218-VKFPE,Sí,Mujer,No,Sí,Sí,12,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Cheque postal,19.0,233.55,0.63
1219-NNDDO,No,Mujer,No,No,No,9,Sí,Sí,Fibra óptica,No,No,No,No,No,No,Mensual,Sí,Cheque electrónico,76.85,663.55,2.56
1221-GHZEP,No,Mujer,No,No,No,62,Sí,No,DSL,Sí,No,No,Sí,No,Sí,Dos años,Sí,Cheque postal,65.1,3846.75,2.17
1222-KJNZD,No,Hombre,No,Sí,Sí,40,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,Sí,Transferencia bancaria,20.4,745.3,0.68
1222-LRYKO,No,Hombre,No,No,Sí,6,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Cheque postal,26.35,184.05,0.88
1223-UNPKS,No,Hombre,No,Sí,Sí,20,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Cheque postal,20.05,400.0,0.67
1226-IENZN,No,Hombre,Yes,No,No,16,Sí,No,Fibra óptica,No,No,No,No,No,Sí,Mensual,Sí,Cheque electrónico,78.75,1218.25,2.62
1226-JZNKR,No,Mujer,No,Sí,Sí,8,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,No,Cheque electrónico,19.8,160.05,0.66
1226-UDFZR,Sí,Mujer,No,No,No,2,Sí,No,DSL,No,Sí,No,No,No,No,Mensual,Sí,Cheque postal,49.6,114.7,1.65
1227-UDMZR,No,Mujer,No,Sí,No,72,Sí,Sí,DSL,Sí,Sí,Sí,Sí,Sí,Sí,Dos años,Sí,Transferencia bancaria,91.15,6637.9,3.04
1228-FZFRV,Sí,Hombre,No,Sí,Sí,50,Sí,Sí,Fibra óptica,Sí,No,Sí,No,Sí,Sí,Mensual,No,Tarjeta de crédito,105.95,5341.8,3.53
1228-ZLNBX,No,Hombre,No,No,No,21,Sí,Sí,Fibra óptica,No,No,No,No,No,No,Mensual,No,Cheque postal,75.3,1570.7,2.51
1229-RCALF,No,Mujer,No,Sí,No,64,Sí,Sí,Fibra óptica,Sí,Sí,Sí,Sí,Sí,Sí,Un año,Sí,Cheque electrónico,115.0,7396.15,3.83
1230-QAJDW,No,Hombre,No,No,No,3,Sí,Sí,DSL,No,No,No,Sí,Sí,No,Mensual,Sí,Cheque postal,65.25,209.9,2.17
1231-YNDEK,No,Hombre,No,No,No,58,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,Sí,Transferencia bancaria,19.15,1035.5,0.64
1236-WFCDV,Sí,Hombre,Yes,No,No,14,Sí,No,Fibra óptica,No,No,No,No,Sí,Sí,Mensual,No,Tarjeta de crédito,90.45,1266.1,3.02
1237-WIYYZ,No,Mujer,No,No,No,18,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,Sí,Cheque postal,19.55,389.25,0.65
1240-HCBOH,No,Mujer,No,No,No,67,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,Sí,Cheque postal,26.1,1759.55,0.87
1240-KNSEZ,Sí,Hombre,No,No,No,1,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,Sí,Cheque postal,20.1,20.1,0.67
1241-EZFMJ,No,Hombre,No,Sí,No,61,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Transferencia bancaria,25.45,1538.6,0.85
1241-FPMOF,No,Hombre,No,No,No,52,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Cheque postal,19.65,1025.05,0.65
1245-HARPS,No,Mujer,No,Sí,No,14,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Cheque postal,20.4,292.4,0.68
1247-QBVSH,No,Mujer,No,Sí,Sí,43,Sí,No,DSL,No,Sí,No,No,No,No,Mensual,No,Cheque postal,50.2,2169.4,1.67
1248-DYXUB,No,Hombre,No,Sí,Sí,52,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Cheque postal,24.8,1229.1,0.83
1251-KRREG,Sí,Hombre,No,No,No,2,Sí,Sí,DSL,No,Sí,No,No,No,No,Mensual,Sí,Cheque postal,54.4,114.1,1.81
1251-STYSZ,No,Mujer,Yes,No,No,4,Sí,Sí,Fibra óptica,Sí,No,No,No,No,No,Mensual,Sí,Cheque electrónico,80.25,303.7,2.68
1254-IZEYF,Sí,Mujer,Yes,No,No,31,Sí,Sí,Fibra óptica,No,Sí,No,No,Sí,Sí,Mensual,Sí,Cheque electrónico,99.95,3186.65,3.33
1257-SXUXQ,No,Hombre,No,Sí,Sí,5,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Cheque postal,19.45,86.05,0.65
1258-YMZNM,No,Mujer,Yes,No,No,27,Sí,Sí,Fibra óptica,Sí,Sí,Sí,No,Sí,Sí,Un año,Sí,Transferencia bancaria,110.5,2857.6,3.68
1260-TTRXI,Sí,Hombre,No,No,No,4,Sí,No,DSL,No,No,No,No,No,Sí,Mensual,No,Cheque electrónico,54.3,195.3,1.81
1261-FWTTE,No,Hombre,Yes,No,No,23,No,Sin servicio telefónico,DSL,No,No,No,No,No,Sí,Mensual,Sí,Transferencia bancaria,34.65,768.45,1.16
1262-OPMFY,Sí,Mujer,No,Sí,No,9,Sí,No,Fibra óptica,No,No,Sí,No,No,No,Mensual,Sí,Transferencia bancaria,75.75,655.9,2.52
1264-BYWMS,Sí,Hombre,No,No,No,55,Sí,Sí,Fibra óptica,No,No,No,No,Sí,Sí,Mensual,Sí,Cheque electrónico,96.8,5283.95,3.23
1264-FUHCX,No,Mujer,No,Sí,No,49,No,Sin servicio telefónico,DSL,No,Sí,No,Sí,Sí,Sí,Un año,Sí,Tarjeta de crédito,56.3,2780.6,1.88
1265-BCFEO,No,Mujer,No,Sí,No,71,Sí,Sí,DSL,No,No,Sí,Sí,Sí,Sí,Dos años,Sí,Transferencia bancaria,80.45,5662.25,2.68
1265-HVPZB,No,Hombre,No,Sí,No,59,Sí,No,DSL,Sí,Sí,Sí,No,Sí,No,Un año,No,Tarjeta de crédito,66.4,3958.2,2.21
1265-XTECC,Sí,Mujer,Yes,Sí,No,68,Sí,Sí,Fibra óptica,Sí,Sí,No,No,No,Sí,Un año,Sí,Tarjeta de crédito,96.55,6581.9,3.22
1265-ZFOSD,No,Mujer,No,Sí,No,64,Sí,Sí,DSL,Sí,Sí,Sí,Sí,No,Sí,Dos años,Sí,Cheque postal,81.3,5129.3,2.71
1266-NZYUI,No,Mujer,No,Sí,Sí,72,Sí,Sí,DSL,Sí,No,Sí,Sí,No,No,Dos años,No,Transferencia bancaria,66.85,4758.8,2.23
1268-ASBGA,Sí,Mujer,Yes,Sí,No,16,Sí,Sí,Fibra óptica,No,No,No,No,No,Sí,Mensual,Sí,Tarjeta de crédito,85.35,1375.15,2.84
1269-FOYWN,No,Hombre,No,Sí,Sí,44,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,No,Transferencia bancaria,20.0,860.85,0.67
1270-XKUCC,No,Mujer,No,Sí,Sí,30,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Cheque postal,19.7,599.25,0.66
1271-SJBGZ,Sí,Hombre,Yes,No,No,12,No,Sin servicio telefónico,DSL,No,No,Sí,Sí,No,Sí,Mensual,Sí,Cheque electrónico,43.65,526.95,1.45
1271-UODNO,No,Hombre,No,No,No,39,Sí,Sí,DSL,No,No,No,Sí,No,No,Dos años,Sí,Tarjeta de crédito,53.85,2200.7,1.8
1272-ILHFG,No,Hombre,No,Sí,Sí,15,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,No,Cheque postal,19.65,332.65,0.65
1273-MTETI,Sí,Mujer,Yes,No,No,4,Sí,Sí,Fibra óptica,No,No,Sí,No,No,Sí,Mensual,Sí,Cheque electrónico,88.85,372.45,2.96
1282-IHQAC,No,Hombre,Yes,No,No,70,No,Sin servicio telefónico,DSL,No,Sí,Sí,No,Sí,No,Un año,Sí,Tarjeta de crédito,44.05,3011.65,1.47
1285-OKIPP,Sí,Hombre,No,No,No,1,Sí,No,Fibra óptica,No,No,No,No,No,Sí,Mensual,No,Cheque electrónico,79.9,79.9,2.66
1291-CUOCY,No,Hombre,No,Sí,No,72,Sí,Sí,Fibra óptica,No,Sí,Sí,Sí,Sí,Sí,Dos años,Sí,Tarjeta de crédito,110.6,7962.2,3.69
1293-BSEUN,No,Mujer,No,Sí,Sí,72,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,Sí,Cheque postal,20.7,1482.3,0.69
1293-HHSHJ,No,Mujer,No,No,No,35,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,No,Cheque postal,21.1,741.0,0.7
1297-VQDRP,No,Hombre,Yes,Sí,Sí,68,Sí,Sí,Fibra óptica,No,No,Sí,Sí,Sí,Sí,Un año,Sí,Tarjeta de crédito,107.15,7379.8,3.57
1298-PHBTI,No,Hombre,No,Sí,Sí,71,Sí,Sí,Fibra óptica,No,Sí,No,Sí,No,No,Dos años,Sí,Cheque electrónico,84.8,6152.4,2.83
1299-AURJA,No,Mujer,No,Sí,Sí,70,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Transferencia bancaria,24.7,1685.9,0.82
1301-LOPVR,No,Hombre,No,Sí,Sí,29,No,Sin servicio telefónico,DSL,Sí,Sí,Sí,Sí,No,Sí,Un año,Sí,Tarjeta de crédito,55.35,1636.95,1.84
1302-TPUBN,No,Hombre,No,No,No,66,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Transferencia bancaria,19.35,1240.8,0.64
1302-UHBDD,No,Hombre,Yes,No,No,20,Sí,No,Fibra óptica,No,No,No,No,Sí,Sí,Mensual,No,Cheque electrónico,89.95,1648.45,3.0
1303-SRDOK,No,Mujer,No,Sí,Sí,55,Sí,No,Fibra óptica,No,No,No,No,No,No,Dos años,Sí,Tarjeta de crédito,69.05,3842.6,2.3
1304-BCCFO,No,Hombre,No,Sí,No,9,Sí,No,DSL,No,No,Sí,No,Sí,Sí,Mensual,Sí,Cheque postal,70.05,564.4,2.34
1304-NECVQ,Sí,Mujer,Yes,No,No,2,Sí,Sí,Fibra óptica,No,No,Sí,No,No,No,Mensual,Sí,Cheque electrónico,78.55,149.55,2.62
1304-SEGFY,No,Mujer,No,Sí,No,72,Sí,Sí,Fibra óptica,No,No,Sí,No,Sí,Sí,Dos años,Sí,Cheque electrónico,97.85,6841.3,3.26
1306-RPWXZ,No,Mujer,No,No,Sí,49,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Tarjeta de crédito,20.45,1024.65,0.68
1307-ATKGB,No,Hombre,No,No,No,24,Sí,No,Fibra óptica,No,Sí,Sí,No,No,Sí,Mensual,Sí,Cheque electrónico,89.55,2187.15,2.98
1307-TVUFB,No,Hombre,Yes,No,No,42,Sí,Sí,Fibra óptica,No,Sí,No,No,No,No,Mensual,Sí,Transferencia bancaria,79.35,3344.1,2.64
1309-BXVOQ,Sí,Hombre,No,Sí,No,21,Sí,Sí,Fibra óptica,No,No,Sí,Sí,Sí,Sí,Mensual,Sí,Cheque electrónico,106.1,2249.95,3.54
1309-XGFSN,No,Hombre,Yes,Sí,Sí,52,Sí,Sí,DSL,No,Sí,Sí,No,Sí,Sí,Un año,Sí,Cheque electrónico,80.85,4079.55,2.7
1310-QRITU,No,Mujer,No,No,No,18,Sí,Sí,DSL,No,No,No,No,No,No,Mensual,Sí,Cheque electrónico,50.3,913.3,1.68
1319-YLZJG,No,Hombre,No,Sí,No,12,Sí,No,Fibra óptica,Sí,Sí,Sí,No,No,No,Mensual,Sí,Cheque electrónico,84.6,959.9,2.82
1320-GVNHT,No,Hombre,No,Sí,Sí,72,Sí,Sí,Fibra óptica,Sí,Sí,Sí,No,Sí,Sí,Dos años,Sí,Tarjeta de crédito,108.4,7767.25,3.61
1320-HTRDR,Sí,Mujer,No,No,No,3,Sí,Sí,Fibra óptica,No,No,No,No,No,No,Mensual,Sí,Cheque electrónico,75.5,220.6,2.52
1320-REHCS,No,Hombre,Yes,No,No,52,Sí,Sí,Fibra óptica,No,Sí,Sí,Sí,Sí,Sí,Mensual,Sí,Cheque electrónico,110.75,5832.0,3.69
1322-AGOQM,Sí,Hombre,No,No,No,46,No,Sin servicio telefónico,DSL,No,Sí,No,No,No,No,Mensual,No,Transferencia bancaria,30.3,1380.1,1.01
1323-OOEPC,Sí,Mujer,No,Sí,No,53,Sí,Sí,Fibra óptica,No,Sí,No,No,Sí,Sí,Mensual,Sí,Tarjeta de crédito,98.4,5149.5,3.28
1324-NLTJE,Sí,Mujer,Yes,No,No,15,Sí,Sí,DSL,No,No,No,Sí,No,No,Mensual,No,Tarjeta de crédito,55.0,757.1,1.83
1325-USMEC,No,Hombre,No,Sí,No,70,Sí,Sí,Fibra óptica,Sí,Sí,Sí,No,Sí,No,Dos años,Sí,Tarjeta de crédito,99.35,6944.5,3.31
1328-EUZHC,No,Mujer,No,Sí,No,18,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Cheque postal,20.1,370.5,0.67
1329-VHWNP,No,Mujer,No,No,No,7,No,Sin servicio telefónico,DSL,No,No,No,No,No,No,Mensual,No,Transferencia bancaria,25.05,189.95,0.84
1333-PBMXB,No,Mujer,No,Sí,Sí,54,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,Sí,Transferencia bancaria,24.75,1342.15,0.82
1334-FJSVR,Sí,Hombre,No,No,No,1,No,Sin servicio telefónico,DSL,No,No,No,No,No,No,Mensual,Sí,Cheque electrónico,24.25,24.25,0.81
1334-PDUKM,No,Mujer,No,Sí,No,68,Sí,Sí,Fibra óptica,No,Sí,Sí,No,No,No,Un año,No,Tarjeta de crédito,86.45,5762.95,2.88
1335-HQMKX,No,Mujer,No,Sí,No,72,Sí,Sí,Fibra óptica,No,Sí,Sí,No,Sí,Sí,Un año,Sí,Cheque electrónico,101.35,7323.15,3.38
1335-MXCSE,No,Hombre,No,Sí,Sí,55,Sí,No,DSL,No,No,Sí,Sí,No,No,Dos años,Sí,Tarjeta de crédito,55.25,3119.9,1.84
1335-NTIUC,No,Hombre,No,No,No,9,No,Sin servicio telefónico,DSL,No,No,No,No,No,No,Mensual,Sí,Cheque electrónico,24.95,190.25,0.83
